Windows PowerShell
版权所有（C） Microsoft Corporation。保留所有权利。

安装最新的 PowerShell，了解新功能和改进！https://aka.ms/PSWindows

PS C:\Git\ga_combine\source_code\multi_ppo_acrobot_noisy> python ppo_3m_noisy_acrobot_train.py
=== Starting E2E PPO (3M Params) Tests on ACROBOT IN NOISY ENVIRONMENT ===
Target Score: -85.0 | Max Steps Allowed: 1000000


--- Running NOISY Acrobot Seed 103 (1/3) with 16 workers ---
[*] PPO 3M Model Instantiated for Acrobot!
[*] Total Parameters: 3,029,924 (Trainable: 3,029,924)
    [Progress] Steps: 550000 | Elapsed: 2121.9s | Recent Avg Reward: -500.0
    [Progress] Steps: 560000 | Elapsed: 2159.7s | Recent Avg Reward: -500.0
    [Progress] Steps: 570000 | Elapsed: 2197.4s | Recent Avg Reward: -500.0
    [Progress] Steps: 580000 | Elapsed: 2234.7s | Recent Avg Reward: -500.0
    [Progress] Steps: 590000 | Elapsed: 2277.3s | Recent Avg Reward: -500.0
    [Progress] Steps: 600000 | Elapsed: 2314.8s | Recent Avg Reward: -500.0
    [Progress] Steps: 610000 | Elapsed: 2352.1s | Recent Avg Reward: -500.0
    [Progress] Steps: 620000 | Elapsed: 2389.9s | Recent Avg Reward: -500.0
    [Progress] Steps: 630000 | Elapsed: 2428.0s | Recent Avg Reward: -500.0
    [Progress] Steps: 640000 | Elapsed: 2470.1s | Recent Avg Reward: -500.0
    [Progress] Steps: 650000 | Elapsed: 2507.6s | Recent Avg Reward: -500.0
    [Progress] Steps: 660000 | Elapsed: 2545.4s | Recent Avg Reward: -500.0
    [Progress] Steps: 670000 | Elapsed: 2582.9s | Recent Avg Reward: -500.0
    [Progress] Steps: 680000 | Elapsed: 2625.5s | Recent Avg Reward: -500.0
    [Progress] Steps: 690000 | Elapsed: 2662.9s | Recent Avg Reward: -500.0
    [Progress] Steps: 700000 | Elapsed: 2700.1s | Recent Avg Reward: -500.0
    [Progress] Steps: 710000 | Elapsed: 2738.0s | Recent Avg Reward: -500.0
    [Progress] Steps: 720000 | Elapsed: 2776.1s | Recent Avg Reward: -500.0
    [Progress] Steps: 730000 | Elapsed: 2817.9s | Recent Avg Reward: -500.0
    [Progress] Steps: 740000 | Elapsed: 2855.4s | Recent Avg Reward: -500.0
    [Progress] Steps: 750000 | Elapsed: 2893.2s | Recent Avg Reward: -500.0
    [Progress] Steps: 760000 | Elapsed: 2931.1s | Recent Avg Reward: -500.0
    [Progress] Steps: 770000 | Elapsed: 2968.2s | Recent Avg Reward: -500.0
    [Progress] Steps: 780000 | Elapsed: 3010.2s | Recent Avg Reward: -500.0
    [Progress] Steps: 790000 | Elapsed: 3048.0s | Recent Avg Reward: -500.0
    [Progress] Steps: 800000 | Elapsed: 3085.3s | Recent Avg Reward: -500.0
    [Progress] Steps: 810000 | Elapsed: 3123.2s | Recent Avg Reward: -500.0
    [Progress] Steps: 820000 | Elapsed: 3165.1s | Recent Avg Reward: -500.0
    [Progress] Steps: 830000 | Elapsed: 3202.6s | Recent Avg Reward: -500.0
    [Progress] Steps: 840000 | Elapsed: 3240.4s | Recent Avg Reward: -500.0
    [Progress] Steps: 850000 | Elapsed: 3278.3s | Recent Avg Reward: -500.0
    [Progress] Steps: 860000 | Elapsed: 3315.6s | Recent Avg Reward: -500.0
    [Progress] Steps: 870000 | Elapsed: 3358.0s | Recent Avg Reward: -500.0
    [Progress] Steps: 880000 | Elapsed: 3395.8s | Recent Avg Reward: -500.0
    [Progress] Steps: 890000 | Elapsed: 3433.1s | Recent Avg Reward: -500.0
    [Progress] Steps: 900000 | Elapsed: 3470.8s | Recent Avg Reward: -500.0
    [Progress] Steps: 910000 | Elapsed: 3513.5s | Recent Avg Reward: -500.0
    [Progress] Steps: 920000 | Elapsed: 3550.7s | Recent Avg Reward: -500.0
    [Progress] Steps: 930000 | Elapsed: 3588.3s | Recent Avg Reward: -500.0
    [Progress] Steps: 940000 | Elapsed: 3626.1s | Recent Avg Reward: -500.0
    [Progress] Steps: 950000 | Elapsed: 3664.1s | Recent Avg Reward: -500.0
    [Progress] Steps: 960000 | Elapsed: 3705.8s | Recent Avg Reward: -500.0
    [Progress] Steps: 970000 | Elapsed: 3743.4s | Recent Avg Reward: -500.0
    [Progress] Steps: 980000 | Elapsed: 3780.5s | Recent Avg Reward: -500.0
    [Progress] Steps: 990000 | Elapsed: 3818.3s | Recent Avg Reward: -500.0
    [Progress] Steps: 1000000 | Elapsed: 3860.9s | Recent Avg Reward: -500.0
[*] Final Result for Noisy Seed 104: Stopped at 1007616 steps in 3890.71 seconds
[*] Data strictly saved to: ppo_3m_noisy_acrobot_results_seed_104\ppo_learning_curve.csv

--- Running NOISY Acrobot Seed 105 (3/3) with 16 workers ---
[*] PPO 3M Model Instantiated for Acrobot!
[*] Total Parameters: 3,029,924 (Trainable: 3,029,924)
