(neat) PS D:\Git\ga_combine\source_code\multi_ga_pendulum_smoo> python ga_pendulum.py --population 50 --generations 100 --subset-k 5 --seed-refresh-rate 0.4
Starting Batch Experiment with seeds: [101, 102, 103, 104, 105]

##################################################
STARTING RUN WITH GLOBAL SEED: 101
##################################################

Global Seed set to: 101
Initial subset: [2099, 2049, 2094, 2070, 2084] (Max Age: 10)
Training Started. Logs: runs_pendulum/ga_1774047806_seed101
   Detailed logs: runs_pendulum/ga_1774047806_seed101/detailed_history.csv
   Checkpoints:   runs_pendulum/ga_1774047806_seed101/checkpoints/
Gen 94 | Fit: 0.16 | MaxRaw: -796.7 | Avg: -1054.2
Gen 95 | Fit: 0.18 | MaxRaw: -629.0 | Avg: -989.3
Gen 96 | Fit: 0.14 | MaxRaw: -698.9 | Avg: -960.3
Gen 97 | Fit: 0.17 | MaxRaw: -628.9 | Avg: -919.5
Gen 98 | Fit: 0.14 | MaxRaw: -815.6 | Avg: -1052.8
Gen 99 | Fit: 0.18 | MaxRaw: -715.0 | Avg: -969.5
Gen 100 | Fit: 0.17 | MaxRaw: -734.0 | Avg: -1009.5

Final Robustness Check (All 100 Seeds)...
100%|████████████████████████████████████████████████████████████████████████████| 5000/5000 [5:32:16<00:00,  3.99s/it]
Best Agent Score: -777.77
Finish. Results in runs_pendulum/ga_1774168889_seed102

##################################################
STARTING RUN WITH GLOBAL SEED: 103
##################################################

Global Seed set to: 103
Initial subset: [2116, 2083, 2117, 2114, 2119] (Max Age: 10)
Training Started. Logs: runs_pendulum/ga_1774289558_seed103
   Detailed logs: runs_pendulum/ga_1774289558_seed103/detailed_history.csv
   Checkpoints:   runs_pendulum/ga_1774289558_seed103/checkpoints/
Gen 1 | Fit: 0.11 | MaxRaw: -1336.9 | Avg: -1382.0
Gen 2 | Fit: 0.17 | MaxRaw: -1007.4 | Avg: -1093.1
Gen 3 | Fit: 0.18 | MaxRaw: -857.2 | Avg: -1019.4
Gen 4 | Fit: 0.16 | MaxRaw: -793.8 | Avg: -999.4
